710 871
203 302 36
303 230 41
10 304 10
305 306 30
307 17 20
308 309 14
310 24 13
311 312 80
57 313 15
314 313 34
315 21 17
35 6 11
316 27 56
317 318 51
20 40 54
8 316 20
319 320 12
319 203 45
321 35 97
8 322 75
323 324 13
7 24 66
40 325 10
326 96 47
327 328 76
310 328 46
54 42 52
329 321 73
316 330 90
331 332 14
333 55 9
334 335 55
336 228 37
337 338 12
339 340 38
341 342 17
44 343 27
344 73 18
345 74 34
346 347 30
348 349 61
350 351 10
32 232 50
352 353 62
354 75 16
355 345 37
356 357 10
358 353 41
74 233 16
96 233 49
49 339 14
60 339 44
318 359 33
230 360 27
361 362 14
363 364 44
365 366 11
47 367 20
368 62 29
369 370 28
371 372 10
373 109 19
374 375 20
376 244 24
377 378 30
379 380 45
381 258 29
382 383 30
384 385 77
386 387 20
387 388 71
389 390 32
391 131 56
390 392 17
393 394 29
295 276 11
395 396 13
397 396 41
398 397 69
138 399 27
295 139 50
142 400 49
401 397 19
148 402 12
403 404 14
405 286 11
406 407 26
169 142 45
404 408 28
409 199 12
410 170 45
164 401 14
280 411 47
412 413 63
414 415 18
416 414 23
173 187 31
174 175 39
417 418 46
399 419 32
420 421 12
422 177 11
423 424 39
425 397 37
426 178 9
427 179 21
428 420 14
429 286 18
137 386 85
185 173 48
188 430 4
431 432 28
433 434 8
435 417 66
436 435 26
437 438 24
179 439 31
200 431 23
440 441 42
442 174 8
443 444 689
202 37 34
445 446 26
0 306 1
447 448 4
215 212 19
1 2 2
2 449 2
1 449 1
450 315 12
451 371 4
447 452 29
453 454 5
455 3 21
453 337 1
4 456 8
4 457 42
458 459 8
443 460 164
461 462 22
463 464 10
5 6 9
364 368 293
465 466 12
7 8 8
203 230 10
443 243 245
467 468 1
305 9 5
10 469 16
464 11 7
204 470 46
208 444 18
471 12 1
472 13 9
473 40 83
471 474 8
212 204 23
205 363 2
475 476 19
206 14 13
353 15 2
462 195 233
468 16 23
473 355 4
477 343 45
18 478 6
228 304 20
479 19 57
477 457 1
457 28 5
475 480 5
20 335 7
4 456 3
202 21 9
22 481 7
472 482 11
23 483 41
484 207 4
485 211 19
22 482 6
306 476 1
484 486 3
208 211 39
14 487 18
448 480 11
305 475 8
488 348 6
489 25 38
17 479 38
9 452 3
311 26 23
490 491 2
488 492 7
493 27 9
351 323 31
28 39 19
494 346 4
323 495 1
24 29 12
5 496 1
494 496 1
10 466 7
490 30 7
464 497 10
445 498 5
31 214 23
499 458 2
465 499 13
13 209 19
486 500 4
337 32 9
445 16 3
452 501 5
490 502 2
9 501 6
503 504 3
317 33 2
353 478 8
25 505 10
449 19 16
26 328 7
5 494 2
214 34 6
446 506 9
451 507 29
504 507 1
355 318 6
461 210 8
203 4 3
3 67 43
357 508 2
210 509 4
451 453 7
12 459 9
210 36 13
26 29 8
335 38 2
472 22 12
6 7 4
20 27 3
202 510 14
212 511 8
31 213 4
205 512 4
491 502 2
3 513 12
478 506 6
480 454 16
485 514 2
470 479 1
468 514 18
41 515 4
474 504 5
492 354 8
203 516 24
516 42 3
371 42 35
447 207 10
466 517 2
463 213 6
497 34 3
213 341 21
10 497 25
463 214 5
32 518 3
518 319 5
466 499 7
485 498 14
445 514 7
215 363 8
470 514 32
496 35 16
469 304 2
519 324 1
10 11 1
228 458 7
304 517 3
37 331 18
37 520 8
43 521 3
333 522 1
448 454 9
204 483 1
483 216 7
355 523 2
465 520 37
14 37 12
477 308 14
308 44 5
467 19 12
524 45 9
524 350 6
351 46 8
497 214 6
498 217 25
515 217 5
47 48 4
486 90 4
314 49 1
326 50 6
326 525 10
363 307 7
51 526 10
23 527 14
322 330 5
313 43 1
492 52 3
326 53 1
348 55 6
528 529 1
56 57 2
223 530 1
17 531 4
218 352 3
26 312 2
525 532 1
500 533 2
329 58 5
1 534 1
314 56 5
53 528 2
43 59 1
535 60 1
209 219 29
314 535 4
48 367 2
536 334 1
0 501 7
49 61 1
33 55 3
55 344 7
508 101 16
537 538 1
491 539 5
62 220 8
315 71 36
325 540 2
541 63 4
476 64 2
322 365 3
29 366 6
532 65 2
467 534 13
462 482 10
62 225 7
66 221 1
13 67 32
23 102 53
25 347 35
525 542 1
68 543 11
544 69 1
70 370 5
545 222 4
524 539 2
333 546 7
492 545 2
446 502 17
547 72 1
317 522 2
522 73 5
45 539 12
488 339 1
546 75 1
16 223 29
58 548 7
0 234 10
507 74 11
74 76 1
54 549 5
544 550 2
487 224 3
225 224 35
225 77 3
367 227 3
211 551 7
53 349 6
344 552 2
546 552 1
541 78 9
15 47 2
446 515 16
79 369 5
553 80 1
528 56 2
474 81 4
327 550 6
34 229 11
15 554 7
548 82 6
548 83 1
555 84 1
85 556 3
311 550 2
520 229 14
30 71 15
370 557 3
48 58 4
552 354 8
547 345 3
503 65 4
50 558 1
538 86 3
459 87 2
81 559 2
311 88 3
312 535 3
312 89 1
484 90 4
313 560 4
50 560 4
542 233 17
508 541 1
533 362 1
547 233 5
313 59 1
59 70 4
322 366 2
500 361 3
521 560 1
449 534 3
333 344 1
473 359 11
365 231 4
444 358 5
11 68 12
79 557 8
232 320 4
33 233 8
31 332 14
329 226 4
517 336 5
78 91 1
92 561 3
555 557 5
365 545 4
357 46 39
518 338 6
538 93 1
46 94 4
321 94 3
366 545 9
229 562 2
563 95 1
456 92 1
227 226 4
542 96 1
532 235 4
6 356 3
70 88 6
544 564 1
537 564 2
555 558 1
558 97 1
564 98 1
537 99 1
310 78 3
487 51 2
67 100 1
2 553 36
341 565 10
45 66 17
232 92 3
527 236 2
87 566 3
56 349 7
461 527 4
516 372 14
553 567 5
471 85 7
469 533 2
506 237 6
65 563 2
507 563 2
503 79 1
521 568 1
46 237 4
569 103 9
460 570 1198
238 242 107
243 251 81
239 571 45
103 572 12
252 573 7
572 247 40
460 571 75
241 574 15
238 376 902
378 575 31
104 575 104
576 577 51
576 578 69
579 580 56
581 105 7
582 583 121
584 585 16
586 587 61
588 393 7
578 589 44
576 246 1
106 107 41
252 576 17
240 108 11
105 246 8
590 591 142
592 591 107
104 244 58
593 378 12
572 592 116
241 373 11
247 590 14
104 110 26
589 594 16
242 589 14
595 596 162
103 105 14
239 242 7
374 115 51
240 597 19
243 571 13
251 598 8
584 582 61
578 599 62
373 600 80
582 601 4
602 587 16
244 603 12
111 604 97
250 605 14
238 245 22
577 599 17
246 606 6
575 601 164
604 607 21
247 577 12
597 380 13
602 595 9
595 608 6
251 248 23
574 609 3
263 249 43
580 609 20
590 599 25
377 255 16
586 583 7
592 112 80
593 583 36
250 610 17
248 610 11
110 603 27
603 113 43
239 594 3
597 570 35
112 611 123
252 245 37
244 394 79
584 585 15
109 612 17
108 570 42
579 612 7
594 610 25
107 374 24
580 601 21
600 253 12
574 613 4
593 607 9
578 114 1
613 254 14
107 614 4
607 255 5
579 254 24
609 613 5
377 115 3
604 586 11
240 109 62
608 116 3
600 116 30
612 379 5
589 114 27
602 256 4
256 615 1
608 256 15
260 119 61
616 117 9
118 617 45
388 611 81
257 618 58
258 619 4
260 617 5
611 138 101
605 119 14
120 381 18
121 620 100
119 261 12
621 622 3
117 623 5
624 625 11
626 122 3
121 261 10
625 122 3
591 258 7
257 622 2
617 627 5
624 122 7
605 262 12
618 383 12
628 384 81
622 123 8
257 621 4
625 124 6
123 629 82
263 618 40
120 385 64
591 628 86
261 259 6
616 118 18
616 288 22
260 117 3
621 124 4
624 125 25
628 385 10
124 630 6
390 631 50
587 632 347
633 273 2
631 270 22
634 264 17
635 391 9
265 632 100
633 126 9
111 634 31
634 636 20
127 637 3
126 638 2
637 269 12
637 639 5
636 271 11
128 640 10
127 639 22
631 271 14
641 272 10
129 642 26
633 266 9
636 130 28
272 129 12
266 267 13
391 638 22
130 268 49
269 267 17
640 392 10
127 270 11
106 643 10
265 268 6
394 640 1
264 271 12
272 131 33
273 638 1
639 267 2
265 274 15
132 629 7
585 587 2
394 275 9
271 644 7
269 133 35
376 275 2
643 134 8
264 643 5
268 133 21
128 392 6
642 629 13
111 645 8
133 646 1
642 135 1
136 632 154
276 442 22
397 395 24
398 164 17
626 137 10
626 125 3
277 647 12
648 649 28
140 141 25
650 143 20
125 144 5
651 145 9
