77 196
0 1 32
1 2 14
1 3 17
3 4 56
8 9 20
10 11 32
11 15 29
12 15 13
12 13 7
14 16 26
14 17 38
17 18 41
18 19 32
18 20 38
20 21 17
21 74 24
22 30 40
30 31 58
31 32 30
31 33 43
31 34 86
34 40 15
42 43 78
43 44 12
43 45 13
45 46 33
46 47 10
46 48 9
48 49 8
48 50 10
49 51 2
51 53 4
54 55 6
41 56 14
56 57 78
57 58 25
10 58 78
57 59 33
59 60 39
59 61 23
61 62 30
62 64 21
61 65 16
65 67 45
57 68 32
58 68 11
3 68 75
22 74 17
19 75 8
20 50 2
43 58 28
1 0 32
2 1 14
3 1 17
4 3 56
9 8 20
11 10 32
15 11 29
15 12 13
13 12 7
16 14 26
17 14 38
18 17 41
19 18 32
20 18 38
21 20 17
74 21 24
30 22 40
31 30 58
32 31 30
33 31 43
34 31 86
40 34 15
43 42 78
44 43 12
45 43 13
46 45 33
47 46 10
48 46 9
49 48 8
50 48 10
51 49 2
53 51 4
55 54 6
56 41 14
57 56 78
58 57 25
58 10 78
59 57 33
60 59 39
61 59 23
62 61 30
64 62 21
65 61 16
67 65 45
68 57 32
68 58 11
68 3 75
74 22 17
75 19 8
50 20 2
58 43 28
4 5 8
4 6 6
6 7 18
7 8 26
9 10 12
13 14 7
12 76 12
17 19 21
21 23 4
23 24 27
24 74 16
24 25 17
22 25 12
25 26 15
25 27 18
27 28 16
24 28 27
29 30 14
32 35 27
32 36 75
36 37 8
36 38 21
38 39 5
34 38 7
39 40 9
40 41 18
41 42 11
44 45 12
10 47 79
50 52 4
51 52 4
23 52 24
18 49 30
41 55 26
62 63 9
69 70 56
70 71 6
70 72 5
71 72 5
72 73 25
17 71 92
55 66 36
11 75 7
14 76 13
75 76 35
59 66 29
61 66 31
5 4 8
6 4 6
7 6 18
8 7 26
10 9 12
14 13 7
76 12 12
19 17 21
23 21 4
24 23 27
74 24 16
25 24 17
25 22 12
26 25 15
27 25 18
28 27 16
28 24 27
30 29 14
35 32 27
36 32 75
37 36 8
38 36 21
39 38 5
38 34 7
40 39 9
41 40 18
42 41 11
45 44 12
47 10 79
52 50 4
52 51 4
52 23 24
49 18 30
55 41 26
63 62 9
70 69 56
71 70 6
72 70 5
72 71 5
73 72 25
71 17 92
66 55 36
75 11 7
76 14 13
76 75 35
66 59 29
66 61 31
