50 168
33 34 2
33 39 1
34 35 3
34 40 3
35 36 2
35 41 2
36 37 7
36 42 2
37 42 3
37 44 7
39 40 3
39 46 2
40 41 4
40 47 1
40 48 2
41 42 4
41 43 1
42 44 1
42 49 6
43 48 4
43 49 5
44 49 3
45 46 4
46 47 3
47 48 7
48 49 10
0 1 10
0 4 7
0 5 2
1 2 6
1 6 1
2 3 6
2 8 5
3 9 3
4 5 9
4 10 3
4 17 9
5 6 5
5 11 2
5 12 3
6 7 2
6 12 4
7 8 3
7 13 3
8 9 8
8 14 2
8 15 5
9 16 7
10 11 3
10 18 1
11 12 1
11 19 2
12 13 2
12 20 3
13 14 1
13 21 5
14 15 2
14 22 1
15 16 7
15 23 3
16 24 7
17 18 1
17 25 2
17 28 5
18 19 3
18 25 1
19 20 4
19 29 9
20 21 5
20 26 4
21 22 2
21 30 6
22 23 6
22 30 3
23 24 2
23 31 5
24 27 3
25 28 2
25 29 1
25 33 5
26 29 3
26 30 7
26 34 6
26 35 8
27 31 1
27 37 6
28 32 6
28 38 5
29 33 1
30 31 3
30 36 2
31 36 3
31 37 5
32 33 4
32 38 3
32 39 3
32 45 6
1 0 10
4 0 7
5 0 2
2 1 6
6 1 1
3 2 6
8 2 5
9 3 3
5 4 9
10 4 3
17 4 9
6 5 5
11 5 2
12 5 3
7 6 2
12 6 4
8 7 3
13 7 3
9 8 8
14 8 2
15 8 5
16 9 7
11 10 3
18 10 1
12 11 1
19 11 2
13 12 2
20 12 3
14 13 1
21 13 5
15 14 2
22 14 1
16 15 7
23 15 3
24 16 7
18 17 1
25 17 2
28 17 5
19 18 3
25 18 1
20 19 4
29 19 9
21 20 5
26 20 4
22 21 2
30 21 6
23 22 6
30 22 3
24 23 2
31 23 5
27 24 3
28 25 2
29 25 1
33 25 5
29 26 3
30 26 7
34 26 6
35 26 8
31 27 1
37 27 6
32 28 6
38 28 5
33 29 1
31 30 3
36 30 2
36 31 3
37 31 5
33 32 4
38 32 3
39 32 3
45 32 6
