667 837
0 203 23
0 1 32
118 3 20
204 3 59
205 206 11
207 208 64
171 209 27
210 211 33
212 213 70
214 215 59
216 189 51
217 218 84
219 220 55
221 222 90
223 224 65
223 225 77
176 5 21
5 15 87
9 226 39
9 227 9
19 228 22
21 229 49
230 170 33
231 232 97
24 233 9
225 234 11
235 236 13
27 237 34
27 238 12
239 240 10
239 241 8
28 29 23
213 127 9
22 242 15
243 244 70
245 246 35
247 246 56
248 207 68
249 250 22
251 252 36
171 253 11
19 33 72
254 255 75
256 217 38
257 195 11
258 259 48
260 19 36
204 261 8
248 35 13
262 263 11
264 265 5
244 266 15
244 267 44
259 268 8
269 270 32
271 272 13
271 273 39
40 274 13
275 41 67
44 276 51
49 277 12
278 277 51
279 50 17
206 52 85
280 281 24
282 283 20
284 54 27
285 55 48
286 287 85
288 175 62
289 229 32
290 291 8
23 292 11
58 293 72
205 59 84
173 294 71
35 295 8
296 297 50
298 299 80
22 300 38
301 302 9
66 303 52
66 176 57
54 296 15
304 305 18
306 225 9
307 306 58
178 308 87
140 309 14
310 311 38
312 255 82
313 69 13
73 314 15
315 74 9
316 317 9
183 318 12
75 319 9
320 321 38
234 322 71
323 75 90
324 96 16
325 96 34
326 327 88
328 298 60
256 218 34
256 329 58
330 77 24
331 25 8
332 333 88
334 77 39
69 79 9
208 335 78
284 182 72
336 15 87
283 72 49
207 337 68
254 284 10
54 183 111
338 328 62
318 339 8
340 341 22
342 343 37
344 196 90
345 346 23
345 347 56
348 79 79
349 350 77
67 285 59
83 71 19
351 352 66
353 354 80
355 356 81
357 259 25
358 359 25
217 205 11
360 361 13
362 330 43
182 363 14
364 365 41
91 74 93
92 6 10
366 312 63
352 367 72
363 183 9
368 257 84
328 95 78
294 369 80
370 173 25
369 173 47
177 93 88
43 371 16
297 318 65
253 277 12
372 373 74
374 375 31
99 376 8
296 377 21
378 100 33
278 379 49
380 381 16
382 231 18
185 331 15
383 43 31
384 385 80
386 387 12
388 389 17
388 313 14
331 105 10
390 391 13
208 366 10
392 393 77
187 394 55
395 396 26
109 397 11
366 254 100
218 59 15
398 399 102
88 400 12
391 110 23
401 402 46
368 195 36
403 195 58
287 330 33
404 389 24
277 405 54
406 407 23
408 239 28
409 97 13
410 304 17
297 411 17
119 120 7
67 412 68
413 414 121
396 415 122
365 416 34
417 418 39
419 290 11
420 421 51
186 422 62
308 423 76
424 425 81
426 427 28
275 428 59
428 41 46
189 363 90
429 359 12
70 191 78
132 430 10
93 250 10
250 267 52
431 432 8
433 4 76
434 435 15
237 317 10
109 194 12
152 63 27
309 224 58
436 437 43
438 439 38
95 440 38
196 95 8
176 336 74
441 429 11
442 443 21
444 62 24
445 267 31
414 446 34
447 448 63
449 450 43
61 451 43
107 44 12
452 453 95
105 357 8
454 455 14
315 456 7
84 107 12
457 458 94
459 460 11
147 461 83
242 462 38
463 346 72
158 109 8
122 214 80
426 464 33
465 466 11
184 467 25
468 469 35
470 471 34
149 61 40
472 473 51
474 454 26
305 28 34
475 101 25
464 476 24
432 290 86
312 477 64
460 478 81
244 272 56
479 338 9
480 481 38
148 159 30
482 340 42
357 483 23
224 475 51
379 405 57
104 467 13
484 187 8
201 202 10
485 486 7
450 487 9
487 488 39
450 2 12
489 490 14
154 491 8
492 84 15
1 2 3
0 493 7
494 495 9
494 496 100
495 497 14
497 498 47
497 499 61
393 458 6
321 500 21
405 501 4
494 502 5
495 498 36
503 504 7
3 4 10
20 505 31
506 507 28
508 167 21
500 342 4
396 5 10
509 510 45
209 210 15
511 512 31
513 512 39
514 515 26
516 517 20
516 518 15
381 212 1
519 520 17
354 246 10
282 521 7
6 7 11
522 402 2
250 243 4
521 167 9
8 9 4
10 13 48
523 137 5
168 11 3
220 524 6
353 245 1
525 526 52
12 13 30
504 230 15
223 322 10
527 528 7
10 407 24
8 14 10
371 510 84
498 502 7
529 530 22
531 532 3
533 534 37
228 16 2
535 536 7
17 18 8
227 226 19
237 473 3
253 211 4
301 22 7
451 537 7
538 169 2
539 540 53
516 541 3
542 23 1
393 385 6
543 541 56
544 545 5
232 24 1
502 507 60
18 273 11
25 546 7
26 547 2
236 332 1
286 27 8
492 548 32
528 549 14
535 314 16
314 550 9
539 551 23
548 424 6
378 174 16
378 30 5
207 513 12
26 31 7
528 552 19
172 184 32
553 32 5
528 554 27
555 556 29
400 383 3
557 558 5
438 505 7
538 559 2
547 429 1
264 126 10
524 20 3
525 499 50
537 269 1
436 153 9
548 560 23
518 561 11
517 562 2
563 564 1
565 552 6
345 344 10
566 567 19
568 569 2
570 34 16
525 571 16
492 572 24
282 573 92
539 574 25
558 530 23
453 262 1
575 36 8
37 38 24
509 576 5
576 303 14
39 577 7
344 578 15
342 180 8
245 247 8
268 579 2
570 580 25
524 385 8
572 173 13
581 386 17
496 582 11
549 583 134
33 40 8
400 416 2
496 499 93
584 585 25
13 231 28
574 586 9
42 587 12
539 39 5
214 43 13
45 46 6
28 47 9
588 529 22
7 48 1
584 589 7
278 49 1
588 590 32
591 592 7
593 51 10
267 280 13
583 283 27
53 410 29
301 515 9
594 595 23
547 358 4
564 596 35
540 597 4
37 598 5
500 545 18
599 56 7
538 57 1
556 600 26
230 601 26
550 58 7
52 59 11
602 292 16
265 576 4
603 60 1
441 61 9
13 30 58
273 272 1
35 604 2
485 489 6
605 541 21
214 606 25
607 608 12
350 62 6
509 188 90
256 63 4
363 452 24
25 64 8
65 609 6
469 470 1
521 283 6
540 532 22
554 570 4
596 610 51
504 41 6
425 67 9
543 600 24
555 611 10
612 613 7
597 614 10
422 325 1
615 616 5
48 566 1
68 316 5
549 414 7
171 210 10
266 267 11
234 69 2
617 558 3
505 618 4
46 178 20
208 179 15
550 398 11
70 349 9
527 29 9
307 71 16
527 619 20
72 454 22
38 73 29
578 620 43
216 611 1
37 391 55
617 567 12
76 320 2
325 324 8
264 66 12
506 575 17
226 74 8
572 601 23
338 78 1
344 78 4
591 534 5
590 621 21
15 415 19
209 211 11
180 622 8
6 537 2
308 80 10
621 620 48
582 81 42
29 47 3
575 390 19
407 573 16
515 618 46
328 78 7
611 477 1
72 82 2
46 83 13
581 435 9
355 459 1
85 473 9
316 334 1
623 90 3
508 520 6
272 181 7
602 610 17
319 333 1
240 241 1
607 533 46
431 624 19
341 86 3
87 88 2
581 511 10
533 605 30
536 410 8
625 362 5
229 42 2
89 626 1
589 365 6
612 578 12
271 93 6
82 627 9
39 94 3
615 184 6
369 370 10
508 519 18
33 64 10
519 82 4
79 97 6
628 629 8
563 630 1
62 74 9
70 348 10
566 442 5
613 631 1
526 597 22
632 633 4
68 98 4
518 557 2
589 364 1
11 96 6
555 608 12
512 387 3
614 623 6
77 634 2
611 594 25
582 81 5
101 423 8
310 420 10
251 420 9
47 279 8
552 573 20
387 432 3
555 335 1
635 102 11
398 382 11
556 594 15
517 561 3
559 636 1
364 636 4
564 637 1
228 274 1
174 103 6
536 635 16
100 103 10
89 104 1
586 567 2
356 437 10
96 186 10
106 638 5
360 107 3
592 623 5
503 11 14
14 91 6
630 637 2
614 605 10
639 640 1
92 99 6
108 395 5
544 86 2
218 329 10
607 600 28
94 483 7
506 507 26
546 563 11
510 610 12
188 401 13
30 641 12
189 642 24
425 624 27
10 36 15
55 412 1
375 404 1
354 565 5
514 545 4
305 177 1
602 111 26
274 112 6
636 113 4
341 114 2
643 115 1
169 644 1
645 116 1
58 213 10
367 394 1
302 646 3
303 336 11
323 235 1
298 616 1
351 484 1
190 647 10
586 637 5
501 461 7
62 191 9
76 192 1
245 117 1
204 118 1
295 607 1
542 121 5
121 122 3
606 88 2
511 534 9
377 648 2
628 649 8
601 618 55
643 123 6
124 650 2
551 456 6
585 603 5
365 125 2
71 309 1
73 110 7
322 348 9
523 416 3
241 629 10
526 560 20
520 401 10
