140 380
4 5 26
5 6 21
5 7 10
7 8 37
8 9 12
7 10 48
10 11 25
11 12 12
12 13 18
9 14 13
14 15 8
14 16 13
12 16 6
12 15 12
16 17 8
17 18 6
9 18 28
11 19 34
19 20 58
19 21 10
20 22 55
19 23 33
22 23 56
23 24 10
24 25 48
22 25 20
24 26 19
26 27 6
27 28 5
27 29 5
29 30 41
25 30 12
29 31 28
28 32 52
10 32 24
33 138 49
33 34 59
34 35 4
34 36 17
35 36 20
35 37 25
37 38 6
38 39 18
39 40 12
37 40 10
40 46 99
36 41 17
41 42 5
36 42 16
42 43 31
43 44 14
33 44 4
41 46 4
45 46 7
42 45 5
32 138 13
47 138 49
47 48 10
47 49 8
49 50 30
50 51 12
51 52 12
52 139 24
48 139 24
53 54 10
54 55 4
55 56 49
56 57 20
57 58 40
58 59 18
44 59 15
59 60 35
58 60 31
48 60 13
56 61 14
61 62 7
62 63 9
63 64 15
55 64 30
61 65 37
65 66 33
66 67 9
66 68 4
68 69 8
69 70 9
68 70 6
70 71 9
71 72 18
71 73 15
72 73 5
43 72 36
70 74 36
74 75 47
73 75 27
75 76 10
45 76 16
76 77 15
77 78 12
78 79 12
78 80 9
79 80 10
79 81 16
81 82 10
80 82 17
81 83 13
82 83 18
83 84 10
84 85 20
85 86 4
85 87 33
87 88 14
87 89 12
89 90 7
67 89 67
65 90 69
88 91 10
81 91 26
83 91 29
63 92 28
62 92 25
92 93 17
93 94 49
94 95 8
95 96 17
96 97 3
95 98 10
96 98 37
98 99 33
93 99 17
93 100 4
65 100 28
100 101 17
101 102 42
90 102 27
101 103 21
103 104 6
104 105 15
105 106 28
106 107 25
105 107 38
107 108 103
106 109 8
109 110 7
109 111 13
106 111 13
111 112 4
102 112 46
112 113 12
113 114 36
114 115 10
0 115 18
115 116 19
114 116 20
1 116 16
116 117 49
116 118 24
118 119 14
113 117 58
90 117 35
117 120 17
119 120 16
120 121 8
86 121 15
121 122 15
122 123 29
119 122 32
122 124 32
3 123 67
123 125 11
125 126 15
126 127 22
2 127 41
127 128 23
126 128 11
125 129 35
125 130 26
130 131 5
131 132 7
132 133 10
132 134 19
133 134 14
133 135 31
135 136 29
135 137 5
130 137 47
124 137 20
54 139 14
53 139 18
10 26 50
57 69 11
5 4 26
6 5 21
7 5 10
8 7 37
9 8 12
10 7 48
11 10 25
12 11 12
13 12 18
14 9 13
15 14 8
16 14 13
16 12 6
15 12 12
17 16 8
18 17 6
18 9 28
19 11 34
20 19 58
21 19 10
22 20 55
23 19 33
23 22 56
24 23 10
25 24 48
25 22 20
26 24 19
27 26 6
28 27 5
29 27 5
30 29 41
30 25 12
31 29 28
32 28 52
32 10 24
138 33 49
34 33 59
35 34 4
36 34 17
36 35 20
37 35 25
38 37 6
39 38 18
40 39 12
40 37 10
46 40 99
41 36 17
42 41 5
42 36 16
43 42 31
44 43 14
44 33 4
46 41 4
46 45 7
45 42 5
138 32 13
138 47 49
48 47 10
49 47 8
50 49 30
51 50 12
52 51 12
139 52 24
139 48 24
54 53 10
55 54 4
56 55 49
57 56 20
58 57 40
59 58 18
59 44 15
60 59 35
60 58 31
60 48 13
61 56 14
62 61 7
63 62 9
64 63 15
64 55 30
65 61 37
66 65 33
67 66 9
68 66 4
69 68 8
70 69 9
70 68 6
71 70 9
72 71 18
73 71 15
73 72 5
72 43 36
74 70 36
75 74 47
75 73 27
76 75 10
76 45 16
77 76 15
78 77 12
79 78 12
80 78 9
80 79 10
81 79 16
82 81 10
82 80 17
83 81 13
83 82 18
84 83 10
85 84 20
86 85 4
87 85 33
88 87 14
89 87 12
90 89 7
89 67 67
90 65 69
91 88 10
91 81 26
91 83 29
92 63 28
92 62 25
93 92 17
94 93 49
95 94 8
96 95 17
97 96 3
98 95 10
98 96 37
99 98 33
99 93 17
100 93 4
100 65 28
101 100 17
102 101 42
102 90 27
103 101 21
104 103 6
105 104 15
106 105 28
107 106 25
107 105 38
108 107 103
109 106 8
110 109 7
111 109 13
111 106 13
112 111 4
112 102 46
113 112 12
114 113 36
115 114 10
115 0 18
116 115 19
116 114 20
116 1 16
117 116 49
118 116 24
119 118 14
117 113 58
117 90 35
120 117 17
120 119 16
121 120 8
121 86 15
122 121 15
123 122 29
122 119 32
124 122 32
123 3 67
125 123 11
126 125 15
127 126 22
127 2 41
128 127 23
128 126 11
129 125 35
130 125 26
131 130 5
132 131 7
133 132 10
134 132 19
134 133 14
135 133 31
136 135 29
137 135 5
137 130 47
137 124 20
139 54 14
139 53 18
26 10 50
69 57 11
