761 917
294 295 130
296 11 61
297 298 40
299 300 55
301 302 44
303 304 336
32 33 50
305 306 283
307 308 125
309 310 41
311 312 331
313 314 140
315 316 53
317 192 56
318 319 11
14 320 29
321 322 58
323 324 70
79 325 59
326 327 22
88 328 67
329 45 96
330 331 220
101 332 23
333 334 40
258 335 9
336 337 110
338 339 33
340 341 74
318 263 22
342 343 31
344 345 37
346 261 1
347 348 17
272 349 18
350 100 67
351 343 29
352 353 125
354 355 26
283 356 27
342 272 27
357 358 2
359 360 71
326 361 35
362 363 14
362 278 28
364 365 19
140 366 21
367 368 23
369 370 17
371 364 9
372 373 144
374 375 48
376 377 15
378 379 15
380 381 5
382 383 77
384 385 43
386 184 15
387 388 31
389 390 22
390 391 4
392 393 9
394 395 13
396 392 28
397 398 4
399 388 25
400 401 102
402 403 3
404 405 45
406 407 22
406 408 16
402 409 9
410 411 114
412 413 28
414 393 23
415 416 20
412 417 9
418 407 13
287 419 17
420 421 16
422 423 35
424 425 12
426 427 50
195 428 17
429 430 23
431 432 28
365 399 30
433 431 23
434 435 8
206 436 28
437 370 36
438 439 100
440 441 51
442 443 20
396 414 8
444 212 10
445 444 28
446 447 38
440 448 21
403 449 24
404 287 13
450 415 43
451 202 15
177 221 3
452 389 10
453 424 21
454 444 20
422 455 37
398 456 10
457 435 9
458 212 10
459 460 10
412 394 10
461 288 4
394 462 16
463 464 30
204 460 15
465 466 25
368 455 15
368 467 6
378 468 9
469 470 23
469 471 20
413 470 23
467 471 27
467 412 17
427 472 7
393 390 7
473 474 32
475 204 34
476 434 16
413 440 10
460 477 31
478 431 15
447 479 20
480 404 13
481 459 22
482 462 12
369 483 6
471 413 12
484 485 7
486 287 13
487 369 7
488 489 12
490 480 11
491 242 15
242 492 28
493 270 62
494 493 553
495 494 48
495 494 45
493 496 2066
495 497 516
249 141 370
498 499 218
500 501 40
38 502 793
503 502 469
0 504 135
243 15 233
301 505 625
506 507 603
250 508 80
501 509 23
1 2 31
506 7 28
14 322 223
3 68 104
510 511 209
510 512 40
513 27 32
507 141 266
514 498 148
4 515 6
516 517 21
516 5 6
373 253 152
518 519 85
499 27 50
243 296 132
6 520 111
243 7 184
8 18 239
7 26 106
314 301 127
521 9 16
300 10 121
2 522 54
501 26 159
298 18 159
523 20 18
524 12 50
525 526 12
525 13 100
14 119 65
515 315 551
15 499 371
297 16 7
8 17 212
17 527 6
22 172 212
507 502 1122
304 528 801
523 138 199
19 529 125
530 21 80
22 531 41
513 499 63
276 23 23
532 533 487
534 535 127
498 24 323
16 302 225
294 11 156
25 49 32
506 536 38
536 537 25
24 538 169
514 27 70
500 244 46
28 539 77
540 541 374
542 29 31
514 30 404
299 245 115
315 246 78
543 544 10
545 120 209
546 547 11
500 548 45
17 157 119
31 549 927
295 305 25
34 35 37
35 550 7
544 517 1
543 36 37
4 37 38
550 38 3
252 108 185
530 308 80
39 320 81
20 299 60
245 505 52
36 551 7
504 518 195
3 253 96
552 553 1
547 553 19
552 47 95
519 549 423
40 554 74
41 247 92
530 252 59
42 555 14
353 528 230
556 557 70
5 109 27
316 43 15
34 44 187
558 559 204
542 45 37
560 312 337
19 46 112
518 522 273
535 561 252
248 53 48
248 562 20
563 531 14
540 145 486
564 100 81
565 533 397
508 38 11
508 550 6
37 48 34
31 313 188
10 313 25
566 108 29
566 65 133
567 154 144
44 567 249
519 538 1356
8 306 27
512 532 503
504 373 38
515 522 46
50 568 29
569 570 181
571 133 44
509 513 1
572 51 127
52 564 132
510 533 231
573 571 23
548 33 49
532 574 24
350 334 171
0 575 147
25 28 21
538 54 61
31 54 36
576 277 179
43 55 35
534 546 56
537 317 40
565 577 898
308 561 860
573 56 24
56 57 39
578 58 8
58 535 13
59 135 74
375 554 39
579 580 109
581 582 111
566 331 641
32 39 7
33 39 42
583 584 17
46 60 142
569 568 6
303 585 85
47 48 81
49 60 48
553 321 107
586 587 172
579 61 37
588 62 17
331 63 23
64 131 146
573 61 17
572 589 60
539 143 127
30 310 43
549 496 175
66 323 107
568 590 9
569 590 7
67 70 111
540 511 53
591 592 182
29 593 34
589 114 173
305 249 53
21 68 44
69 594 37
69 595 62
509 244 33
71 106 260
250 72 86
251 73 18
53 74 13
311 596 14
597 330 10
524 597 40
75 76 46
77 78 28
77 139 47
562 168 101
597 152 71
563 79 64
585 596 16
596 80 18
311 598 301
599 344 32
562 81 16
581 82 25
567 600 52
83 601 72
602 124 498
324 84 48
85 603 80
247 86 64
600 153 83
565 602 224
593 108 696
63 593 59
545 539 27
604 265 9
511 602 567
51 86 28
14 55 47
555 87 19
9 52 112
526 605 87
6 170 113
560 606 75
88 606 44
89 90 24
583 607 27
607 608 6
91 609 15
609 610 10
91 610 16
42 348 57
328 92 56
591 229 119
601 611 34
612 93 14
41 613 8
94 160 26
67 347 42
505 95 5
521 96 82
614 170 82
97 175 17
564 69 15
366 98 20
73 366 13
73 263 27
615 616 26
383 99 67
84 352 51
101 102 33
103 617 11
546 552 8
43 104 28
105 618 36
609 619 23
601 107 54
64 267 28
267 620 31
621 148 55
617 622 5
599 109 69
551 178 67
71 618 117
110 359 8
346 254 5
623 624 57
620 625 126
626 111 17
626 627 29
628 118 65
531 628 2
112 113 55
334 367 68
629 256 52
591 541 1
624 630 38
555 257 40
40 541 42
582 114 59
542 593 42
598 166 65
269 335 57
258 631 6
75 115 14
96 115 67
581 595 17
632 633 11
113 131 68
77 385 28
607 622 22
634 635 21
53 325 19
375 520 56
594 116 11
626 136 112
283 262 42
367 333 8
422 635 71
307 87 38
81 636 35
636 117 68
636 165 37
545 72 3
1 575 23
612 637 18
99 634 19
631 638 25
79 86 67
598 621 5
616 115 69
521 616 121
523 122 29
259 611 75
44 120 15
612 619 16
66 121 31
548 317 61
590 339 98
339 121 54
582 332 49
246 309 76
59 132 62
627 639 25
318 123 7
318 604 35
73 98 18
640 641 30
625 642 88
3 643 74
1 575 21
124 125 7
126 644 6
340 343 81
579 106 23
584 608 38
619 645 32
627 646 38
551 647 50
516 648 11
618 520 2
62 102 154
544 36 33
