563 815
120 121 52
122 123 26
124 125 47
126 8 29
9 122 22
127 128 20
129 130 29
131 132 30
133 134 40
128 135 6
136 137 26
138 139 41
140 141 108
142 120 20
143 144 12
132 145 30
146 147 11
148 149 15
150 151 117
141 151 36
152 153 87
154 155 97
156 148 16
157 158 33
159 7 108
160 161 14
162 163 48
164 165 23
166 167 34
168 169 16
170 107 30
171 172 37
173 174 16
175 176 36
34 177 57
178 179 96
180 181 16
182 141 121
183 151 43
184 185 49
41 186 12
187 188 28
189 190 40
191 192 54
144 193 16
194 195 47
107 196 31
179 197 40
198 199 21
200 201 25
202 203 16
170 204 37
205 34 47
60 206 12
207 208 37
209 210 53
211 200 22
212 213 25
214 124 18
197 175 99
215 216 16
217 218 42
219 220 11
221 222 61
223 112 43
224 225 33
226 227 16
228 229 23
230 231 34
155 153 42
67 232 59
233 44 48
234 235 22
31 236 13
237 238 24
239 178 25
240 241 29
242 243 15
0 209 20
204 196 29
244 245 16
246 247 21
248 136 12
249 149 26
250 251 29
252 253 45
254 255 25
256 257 61
258 77 12
259 260 53
161 228 30
261 262 39
179 263 30
241 203 80
264 265 102
266 267 44
268 269 16
270 218 56
218 140 98
271 272 21
234 273 21
73 274 10
275 276 14
277 223 25
278 279 24
202 280 23
281 282 35
283 48 12
236 174 28
151 284 23
285 286 35
216 287 12
288 289 18
269 254 15
290 291 29
119 292 67
293 294 17
295 296 16
297 164 23
105 298 62
299 300 34
299 269 15
301 302 63
303 304 128
305 306 70
307 308 51
309 0 27
0 65 58
310 1 9
311 312 22
312 313 14
314 315 55
316 317 8
318 319 18
320 321 174
322 209 14
322 323 42
210 324 6
147 325 32
326 327 8
328 329 52
330 331 11
332 159 125
194 333 36
270 2 35
334 41 46
171 3 8
335 336 64
337 321 108
299 302 35
305 337 121
338 97 31
303 339 52
317 340 20
123 341 16
342 10 76
342 4 20
343 234 23
5 344 18
163 345 132
279 346 3
346 347 3
335 348 4
349 350 133
351 352 9
353 354 71
355 6 70
356 357 45
291 358 30
7 359 45
360 361 81
124 362 30
363 187 8
301 364 13
169 365 33
356 366 188
367 368 13
303 308 235
369 127 31
8 133 27
126 213 33
312 370 12
111 371 105
372 373 24
374 375 155
10 376 135
130 11 15
11 377 12
378 132 63
379 380 55
304 381 354
371 191 134
382 383 18
381 51 95
384 385 80
386 387 59
388 389 17
12 390 12
391 392 19
301 305 17
147 207 15
393 394 8
373 393 19
372 386 20
395 396 8
397 134 25
128 160 18
187 137 21
106 297 88
106 376 197
123 73 29
309 398 20
399 129 3
400 401 13
307 366 58
212 402 22
299 213 20
397 401 38
355 259 229
403 404 71
392 145 6
137 13 8
13 405 28
406 258 22
407 408 80
367 14 9
409 407 27
410 219 25
411 412 11
183 157 2
200 107 5
364 139 29
306 413 24
414 415 25
416 417 28
418 419 159
279 199 45
366 264 102
420 421 57
395 421 11
338 422 17
367 406 18
310 352 16
423 251 20
378 424 17
371 15 46
425 180 11
291 16 101
339 426 332
328 353 26
148 251 51
427 241 49
308 150 103
428 429 121
371 62 56
430 17 17
106 18 76
159 150 52
431 292 52
432 19 5
180 19 12
433 434 9
435 285 43
436 437 18
12 438 8
5 20 16
335 439 19
440 21 31
338 169 7
22 441 35
22 442 8
136 443 59
444 445 94
314 446 36
261 28 57
438 214 15
359 447 39
448 449 5
449 450 29
240 451 90
156 452 5
439 289 30
453 454 21
392 38 21
242 455 16
134 208 14
126 139 33
133 138 13
427 23 25
446 456 36
412 457 8
411 457 15
24 25 9
304 339 173
264 26 13
370 442 33
325 195 55
327 27 6
27 458 27
459 460 16
142 456 6
121 285 38
297 165 84
165 267 100
342 461 41
462 272 15
319 435 13
210 405 11
463 464 18
464 29 29
322 365 34
353 403 29
122 168 25
215 221 33
349 155 236
135 231 45
135 30 6
409 385 41
309 465 24
31 466 37
215 467 20
13 32 37
363 32 5
323 468 27
291 469 78
289 470 3
14 33 43
471 472 21
473 250 14
152 35 47
474 262 50
341 169 25
408 475 48
408 36 7
476 37 27
434 38 7
366 477 124
22 39 14
307 182 98
303 444 250
317 468 33
446 227 14
433 474 25
323 324 40
478 40 9
391 428 112
405 443 78
479 480 14
33 481 11
472 482 38
428 483 116
355 461 45
484 485 213
356 444 85
143 292 12
385 42 18
123 394 21
227 181 16
438 486 13
207 190 25
43 197 16
396 249 37
9 463 21
50 487 517
225 488 17
400 184 34
489 44 16
44 490 19
185 233 11
45 491 54
382 390 21
390 486 10
261 483 50
19 434 19
369 492 7
232 74 167
380 290 20
46 493 31
493 47 14
493 494 46
495 494 51
384 456 57
48 496 21
40 497 34
194 205 72
146 498 28
107 204 11
12 383 37
499 189 14
146 189 66
500 501 45
185 49 40
14 502 13
211 503 31
320 50 54
261 275 14
504 75 36
450 385 18
154 35 6
52 505 16
21 53 25
426 445 216
464 39 25
121 450 39
39 506 33
507 508 5
412 54 17
451 374 14
221 216 7
333 192 78
250 509 43
354 494 16
501 510 33
501 511 33
512 513 6
512 55 7
15 117 41
331 514 31
401 201 6
515 404 49
208 499 26
389 393 18
111 516 10
251 131 4
373 75 38
297 426 115
290 56 35
214 282 5
332 256 117
254 517 30
300 517 4
363 402 5
333 420 7
205 518 36
414 503 14
481 482 16
519 520 28
519 57 27
286 58 19
287 521 11
361 498 26
316 199 29
34 503 32
476 518 23
313 522 31
118 523 23
219 118 25
524 329 5
354 329 10
292 193 44
140 176 28
111 418 34
166 525 7
492 283 15
448 526 31
388 465 45
181 108 20
311 506 10
59 60 17
150 182 59
527 61 56
106 528 58
1 326 36
351 480 11
47 495 13
457 387 29
368 502 9
439 53 12
472 100 9
529 247 3
462 530 25
412 225 26
531 224 24
398 531 52
369 455 13
507 63 14
33 480 15
17 514 10
316 278 21
348 53 16
375 532 102
377 424 55
399 460 11
260 487 18
377 132 19
152 46 22
48 198 8
403 35 49
183 469 46
470 252 37
478 206 35
323 64 8
398 443 25
378 66 31
378 459 3
497 67 41
523 232 11
127 513 15
441 293 16
315 28 39
407 109 24
409 475 84
41 513 16
178 230 20
468 198 19
424 460 3
355 528 362
343 348 14
343 505 24
64 340 34
459 247 9
467 533 40
173 534 11
173 533 8
2 228 16
270 228 20
535 271 18
410 218 23
402 68 8
416 430 5
330 536 23
440 245 9
212 24 10
8 24 23
133 500 44
326 479 18
394 524 62
63 537 19
7 379 20
397 177 23
184 49 16
477 357 58
391 396 29
365 97 28
26 182 48
475 69 24
264 69 13
430 538 15
324 340 20
315 357 50
195 34 68
399 435 6
129 424 11
37 117 49
489 539 36
346 440 20
191 429 9
540 70 15
327 508 18
526 71 7
197 217 18
488 375 28
300 541 19
505 535 23
376 542 95
59 543 27
189 511 6
360 511 11
341 65 32
478 59 11
231 512 4
445 542 184
359 223 55
529 544 15
336 545 20
1 351 17
310 526 32
170 201 5
314 108 23
420 452 37
332 381 82
488 224 20
25 500 14
328 504 18
492 546 9
520 72 30
452 110 40
286 547 11
142 547 59
465 548 34
66 544 10
423 66 4
391 474 24
422 496 16
40 232 90
178 244 18
319 530 14
442 506 16
469 74 64
337 525 21
524 75 43
271 235 21
193 545 3
429 542 86
141 76 36
320 418 14
349 515 47
411 375 16
236 237 14
318 272 6
445 483 119
282 77 36
321 419 3
330 419 33
347 178 33
536 539 34
361 143 18
311 522 6
334 239 27
421 149 23
413 532 106
374 549 57
23 504 22
37 78 24
273 550 10
336 550 9
550 551 20
111 552 107
552 79 15
544 545 16
436 168 10
432 433 19
383 20 8
516 80 54
196 553 6
520 81 32
476 538 3
413 531 103
186 283 6
482 502 42
510 252 7
479 508 7
530 246 9
11 58 23
392 425 23
425 58 48
211 553 16
302 268 14
521 256 19
368 344 21
382 344 25
395 251 55
345 554 45
555 82 8
252 83 21
447 223 14
490 491 33
454 277 12
188 541 5
213 188 37
535 84 16
489 85 27
233 85 20
167 85 15
431 470 40
431 253 4
250 110 53
491 70 19
417 45 16
18 528 19
436 242 14
455 437 13
548 86 5
440 288 9
46 47 26
554 257 7
226 547 14
15 527 17
432 181 26
514 538 22
484 487 83
497 206 7
491 87 21
518 88 13
490 553 13
422 243 10
483 262 46
275 262 82
517 248 10
364 49 12
388 54 26
2 263 16
515 203 44
202 549 10
384 477 56
138 400 22
494 556 6
144 473 12
423 509 10
509 544 3
524 556 26
463 556 3
516 89 21
171 364 17
370 160 16
471 244 19
334 230 15
232 114 51
306 268 16
466 557 17
211 540 12
287 277 14
449 90 3
448 558 24
131 66 22
175 265 13
249 131 12
471 84 14
535 559 18
507 559 22
537 559 14
15 552 27
193 509 16
415 88 26
522 115 9
519 62 29
453 91 37
462 273 27
481 63 16
56 358 26
417 92 20
454 256 20
238 112 31
546 243 24
242 546 13
350 93 19
468 496 9
409 281 15
313 161 17
29 543 8
221 521 26
404 555 38
523 113 20
52 84 23
175 76 29
486 43 21
174 467 6
379 284 28
427 94 21
415 95 13
416 95 20
266 560 19
267 560 59
51 554 20
561 96 8
549 350 13
347 239 8
9 293 21
289 278 20
240 387 29
406 71 31
484 259 20
56 466 29
163 533 41
31 534 63
323 97 32
386 389 6
490 539 49
153 114 10
190 499 44
325 177 38
146 190 16
21 52 15
414 92 13
558 98 6
417 540 22
451 280 28
543 115 26
220 116 25
410 116 23
136 541 12
536 87 28
331 99 13
461 520 43
352 406 20
5 258 14
20 77 14
369 296 8
557 358 13
117 527 51
118 220 53
510 119 43
222 345 9
380 238 25
127 295 15
545 551 10
529 551 19
441 295 8
560 485 97
23 404 95
29 495 3
497 229 8
314 276 17
349 555 35
537 100 7
489 525 14
548 274 11
561 101 29
101 102 9
360 103 8
119 103 5
534 557 68
368 104 12
179 104 25
318 101 19
476 88 28
473 498 8
372 94 19
447 453 5
558 561 29
437 294 6
18 562 36
562 105 96
266 562 25
485 105 41
